Wed Mar 30 2022 20:02:24 GMT+0800 (Malaysia Time) | INFO | activity-log-api.log | API: /getActivityLogByPartId | data:{"message":"API Done","total":4,"status":true} | 
Wed Mar 30 2022 20:03:02 GMT+0800 (Malaysia Time) | INFO | activity-log-api.log | API: /getActivityLogByPartId | data:{"message":"API Done","total":4,"status":true} | 
Wed Mar 30 2022 20:03:03 GMT+0800 (Malaysia Time) | INFO | activity-log-api.log | API: /getActivityLogByPartId | data:{"message":"API Done","total":4,"status":true} | 
Wed Mar 30 2022 20:04:05 GMT+0800 (Malaysia Time) | INFO | activity-log-api.log | API: /getActivityLogByPartId | data:{"message":"API Done","total":4,"status":true} | 
Wed Mar 30 2022 20:06:46 GMT+0800 (Malaysia Time) | INFO | activity-log-api.log | API: /getOneActivityLog | data:{"message":"API Done","data":2,"status":true} | 
Wed Mar 30 2022 20:07:00 GMT+0800 (Malaysia Time) | INFO | activity-log-api.log | API: /getOneActivityLog | data:{"message":"API Done","data":1,"status":true} | 
Sat Apr 16 2022 13:35:23 GMT+0800 (China Standard Time) | INFO | activity-log-api.log | API: /getActivityLogByPartId | data:{"message":"API Done","total":4,"status":true} | 
Sat Apr 16 2022 13:35:38 GMT+0800 (China Standard Time) | INFO | activity-log-api.log | API: /getActivityLogByPartId | data:{"message":"API Done","total":4,"status":true} | 
Sat Apr 16 2022 13:35:47 GMT+0800 (China Standard Time) | INFO | activity-log-api.log | API: /getActivityLogByPartId | data:{"message":"API Done","total":4,"status":true} | 
Sat Apr 16 2022 13:36:17 GMT+0800 (China Standard Time) | INFO | activity-log-api.log | API: /getActivityLogByPartId | data:{"message":"API Done","total":4,"status":true} | 
Sat Apr 16 2022 13:36:25 GMT+0800 (China Standard Time) | INFO | activity-log-api.log | API: /getActivityLogByPartId | data:{"message":"API Done","total":4,"status":true} | 
Sat Apr 16 2022 13:37:40 GMT+0800 (China Standard Time) | INFO | activity-log-api.log | API: /getActivityLogByPartId | data:{"message":"API Done","total":5,"status":true} | 
Sat Apr 16 2022 13:39:14 GMT+0800 (China Standard Time) | INFO | activity-log-api.log | API: /getActivityLogByPartId | data:{"message":"API Done","total":5,"status":true} | 
Sat Apr 16 2022 13:39:24 GMT+0800 (China Standard Time) | INFO | activity-log-api.log | API: /getActivityLogByPartId | data:{"message":"API Done","total":5,"status":true} | 
Sat Apr 16 2022 13:39:26 GMT+0800 (China Standard Time) | INFO | activity-log-api.log | API: /getActivityLogByPartId | data:{"message":"API Done","total":5,"status":true} | 
Sat Apr 16 2022 13:39:45 GMT+0800 (China Standard Time) | INFO | activity-log-api.log | API: /getActivityLogByPartId | data:{"message":"API Done","total":5,"status":true} | 
Sat Apr 16 2022 13:39:55 GMT+0800 (China Standard Time) | INFO | activity-log-api.log | API: /getActivityLogByPartId | data:{"message":"API Done","total":5,"status":true} | 
Sat Apr 16 2022 13:40:19 GMT+0800 (China Standard Time) | INFO | activity-log-api.log | API: /getActivityLogByPartId | data:{"message":"API Done","total":5,"status":true} | 
Sat Apr 16 2022 13:40:37 GMT+0800 (China Standard Time) | INFO | activity-log-api.log | API: /getActivityLogByPartId | data:{"message":"API Done","total":5,"status":true} | 
Sat Apr 16 2022 13:40:50 GMT+0800 (China Standard Time) | INFO | activity-log-api.log | API: /getActivityLogByPartId | data:{"message":"API Done","total":5,"status":true} | 
Sat Apr 16 2022 13:41:16 GMT+0800 (China Standard Time) | INFO | activity-log-api.log | API: /getActivityLogByPartId | data:{"message":"API Done","total":5,"status":true} | 
Sat Apr 16 2022 13:41:27 GMT+0800 (China Standard Time) | INFO | activity-log-api.log | API: /getActivityLogByPartId | data:{"message":"API Done","total":5,"status":true} | 
Sat Apr 16 2022 13:41:31 GMT+0800 (China Standard Time) | INFO | activity-log-api.log | API: /getActivityLogByPartId | data:{"message":"API Done","total":5,"status":true} | 
Sat Apr 16 2022 13:41:50 GMT+0800 (China Standard Time) | INFO | activity-log-api.log | API: /getActivityLogByPartId | data:{"message":"API Done","total":5,"status":true} | 
Sat Apr 16 2022 13:41:58 GMT+0800 (China Standard Time) | INFO | activity-log-api.log | API: /getActivityLogByPartId | data:{"message":"API Done","total":5,"status":true} | 
Sat Apr 16 2022 13:42:05 GMT+0800 (China Standard Time) | INFO | activity-log-api.log | API: /getActivityLogByPartId | data:{"message":"API Done","total":5,"status":true} | 
Sat Apr 16 2022 13:42:13 GMT+0800 (China Standard Time) | INFO | activity-log-api.log | API: /getActivityLogByPartId | data:{"message":"API Done","total":5,"status":true} | 
Sat Apr 16 2022 13:42:29 GMT+0800 (China Standard Time) | INFO | activity-log-api.log | API: /getActivityLogByPartId | data:{"message":"API Done","total":5,"status":true} | 
Sat Apr 16 2022 13:43:27 GMT+0800 (China Standard Time) | INFO | activity-log-api.log | API: /getActivityLogByPartId | data:{"message":"API Done","total":5,"status":true} | 
Sat Apr 16 2022 13:51:28 GMT+0800 (China Standard Time) | INFO | activity-log-api.log | API: /getActivityLogByPartId | data:{"message":"API Done","total":5,"status":true} | 
