Thu Mar 31 2022 11:59:26 GMT+0800 (Malaysia Time) | INFO | pendingparts-api.log | API: /getAllPendings | data:{"message":"API Done","total":0,"status":true} | 
Thu Mar 31 2022 12:00:07 GMT+0800 (Malaysia Time) | INFO | pendingparts-api.log | API: /getAllPendings | data:{"message":"API Done","total":0,"status":true} | 
Thu Mar 31 2022 12:00:24 GMT+0800 (Malaysia Time) | INFO | pendingparts-api.log | API: /getAllPendings | data:{"message":"API Done","total":0,"status":true} | 
Thu Mar 31 2022 13:45:44 GMT+0800 (Malaysia Time) | INFO | pendingparts-api.log | API: /getAllPendings | data:{"message":"API Done","total":0,"status":true} | 
Thu Mar 31 2022 13:46:33 GMT+0800 (Malaysia Time) | ERROR | pendingparts-api.log | API: /addSPPending | data:{"message":"API Failed: TypeError: Cannot read properties of undefined (reading 'category')","status":false} | 
Thu Mar 31 2022 13:47:11 GMT+0800 (Malaysia Time) | ERROR | pendingparts-api.log | API: /addSPPending | data:{"message":"API Failed: TypeError: Cannot read properties of undefined (reading 'category')","status":false} | 
Thu Mar 31 2022 13:47:28 GMT+0800 (Malaysia Time) | ERROR | pendingparts-api.log | API: /addSPPending | data:{"message":"API Error: QueryFailedError: ER_NO_REFERENCED_ROW_2: Cannot add or update a child row: a foreign key constraint fails (`u207790927_G_ERP`.`sp_pending`, CONSTRAINT `pending_approve` FOREIGN KEY (`approved_by`) REFERENCES `user` (`id`))","value":{"category":{"Category_id":1,"Category_category_type":"Mechanical","Category_description":"Linear Motion","Category_code":"M0A","status":"Show"},"type_item":{"TypeItems_id":1,"TypeItems_type_item":"Linear Shaft","Category_id":1,"Category_category_type":"Mechanical","Category_description":"Linear Motion","Category_code":"M0A","Category_status":1,"status":"Show"},"product_part_number":"fewgre","greatech_drawing_naming":"htht","description":"ethe","brand":"newbrand","uom":"PCS","remark":"the","assign_material":"No","assign_weight":"Overwrite by User","folder_location":"ethehe","_2d_folder":"","_3d_folder":"","solidworks_folder":"","vendor":"","user_id":"1"},"status":false} | 
Thu Mar 31 2022 13:49:09 GMT+0800 (Malaysia Time) | INFO | pendingparts-api.log | API: /addSPPending | data:{"message":"API Done","value":{"identifiers":[{"id":2}],"generatedMaps":[{"id":2}],"raw":{"fieldCount":0,"affectedRows":1,"insertId":2,"serverStatus":2,"warningCount":1,"message":"","protocol41":true,"changedRows":0}},"status":true} | 
Thu Mar 31 2022 13:49:21 GMT+0800 (Malaysia Time) | INFO | pendingparts-api.log | API: /getAllPendings | data:{"message":"API Done","total":0,"status":true} | 
Thu Mar 31 2022 13:51:21 GMT+0800 (Malaysia Time) | INFO | pendingparts-api.log | API: /getAllPendings | data:{"message":"API Done","total":0,"status":true} | 
Thu Mar 31 2022 13:51:39 GMT+0800 (Malaysia Time) | INFO | pendingparts-api.log | API: /getAllPending | data:{"message":"API Done","total":0,"status":true} | 
Thu Mar 31 2022 13:52:23 GMT+0800 (Malaysia Time) | INFO | pendingparts-api.log | API: /getAllPending | data:{"message":"API Done","total":0,"status":true} | 
Thu Mar 31 2022 13:53:31 GMT+0800 (Malaysia Time) | INFO | pendingparts-api.log | API: /getOnePending | data:{"message":"API Done","total":0,"value":2,"status":true} | 
Thu Mar 31 2022 13:54:13 GMT+0800 (Malaysia Time) | INFO | pendingparts-api.log | API: /getAllPending | data:{"message":"API Done","total":1,"status":true} | 
Thu Mar 31 2022 13:56:43 GMT+0800 (Malaysia Time) | INFO | pendingparts-api.log | API: /getAllPendings | data:{"message":"API Done","total":1,"status":true} | 
Thu Mar 31 2022 13:57:45 GMT+0800 (Malaysia Time) | INFO | pendingparts-api.log | API: /getAllPendings | data:{"message":"API Done","total":1,"status":true} | 
Thu Mar 31 2022 13:59:02 GMT+0800 (Malaysia Time) | INFO | pendingparts-api.log | API: /getAllPendings | data:{"message":"API Done","total":1,"status":true} | 
Thu Mar 31 2022 14:03:08 GMT+0800 (Malaysia Time) | INFO | pendingparts-api.log | API: /getAllPendings | data:{"message":"API Done","total":1,"status":true} | 
Thu Mar 31 2022 14:03:16 GMT+0800 (Malaysia Time) | INFO | pendingparts-api.log | API: /getAllPendings | data:{"message":"API Done","total":1,"status":true} | 
Thu Mar 31 2022 14:03:27 GMT+0800 (Malaysia Time) | INFO | pendingparts-api.log | API: /getAllPendings | data:{"message":"API Done","total":1,"status":true} | 
Thu Mar 31 2022 14:07:23 GMT+0800 (Malaysia Time) | INFO | pendingparts-api.log | API: /getAllPendings | data:{"message":"API Done","total":1,"status":true} | 
Thu Mar 31 2022 14:07:29 GMT+0800 (Malaysia Time) | INFO | pendingparts-api.log | API: /getAllPendings | data:{"message":"API Done","total":1,"status":true} | 
Thu Mar 31 2022 14:12:27 GMT+0800 (Malaysia Time) | ERROR | pendingparts-api.log | API: /addSPMSPending | data:{"message":"API Failed: TypeError: Cannot read properties of undefined (reading 'category')","status":false} | 
Thu Mar 31 2022 14:12:53 GMT+0800 (Malaysia Time) | INFO | pendingparts-api.log | API: /addSPMSPending | data:{"message":"API Done","value":{"identifiers":[{"id":3}],"generatedMaps":[{"id":3}],"raw":{"fieldCount":0,"affectedRows":1,"insertId":3,"serverStatus":2,"warningCount":5,"message":"","protocol41":true,"changedRows":0}},"status":true} | 
Thu Mar 31 2022 14:12:57 GMT+0800 (Malaysia Time) | INFO | pendingparts-api.log | API: /getAllPendings | data:{"message":"API Done","total":2,"status":true} | 
Thu Mar 31 2022 14:13:26 GMT+0800 (Malaysia Time) | INFO | pendingparts-api.log | API: /getAllPendings | data:{"message":"API Done","total":2,"status":true} | 
Thu Mar 31 2022 14:16:42 GMT+0800 (Malaysia Time) | INFO | pendingparts-api.log | API: /getAllPendings | data:{"message":"API Done","total":2,"status":true} | 
Thu Mar 31 2022 14:16:45 GMT+0800 (Malaysia Time) | INFO | pendingparts-api.log | API: /getAllPendings | data:{"message":"API Done","total":2,"status":true} | 
Thu Mar 31 2022 14:16:59 GMT+0800 (Malaysia Time) | ERROR | pendingparts-api.log | API: /approvePending | data:{"message":"API Failed: TypeError: Cannot read properties of undefined (reading 'erp_code')","value":{"id":3,"user_id":"1"},"status":false} | 
Thu Mar 31 2022 14:21:02 GMT+0800 (Malaysia Time) | ERROR | pendingparts-api.log | API: /approvePending | data:{"message":"API Failed: TypeError: Cannot read properties of undefined (reading 'erp_code')","value":{"id":3,"user_id":"1"},"status":false} | 
Thu Mar 31 2022 14:21:41 GMT+0800 (Malaysia Time) | ERROR | pendingparts-api.log | API: /approvePending | data:{"message":"API Failed: TypeError: Cannot read properties of undefined (reading 'erp_code')","value":{"id":3,"user_id":"1"},"status":false} | 
Thu Mar 31 2022 14:22:12 GMT+0800 (Malaysia Time) | ERROR | pendingparts-api.log | API: /approvePending | data:{"message":"API Failed: TypeError: Cannot read properties of undefined (reading 'erp_code')","value":{"id":3,"user_id":"1"},"status":false} | 
