Sun Apr 17 2022 17:03:15 GMT+0800 (China Standard Time) | INFO | tester-form-builder-api.log | API: /createTesterFormBuilder | data:{"message":"API Done","value":{"title":"HeloForm","description":"asdasdasd","formStructure":"[{\"label\":\"asd\",\"placeholder\":\"asd\",\"type\":\"text\",\"defaultValue\":\"asdasd\",\"validations\":[\"Required\"],\"dropDownValue\":[]}]","id":1},"status":true} | 
Sun Apr 17 2022 17:37:27 GMT+0800 (China Standard Time) | INFO | tester-form-builder-api.log | API: /getAllTesterFormBuilder | data:{"message":"API Done","total":1,"status":true} | 
Sun Apr 17 2022 17:37:32 GMT+0800 (China Standard Time) | INFO | tester-form-builder-api.log | API: /getAllTesterFormBuilder | data:{"message":"API Done","total":1,"status":true} | 
Sun Apr 17 2022 17:37:44 GMT+0800 (China Standard Time) | INFO | tester-form-builder-api.log | API: /getAllTesterFormBuilder | data:{"message":"API Done","total":1,"status":true} | 
Sun Apr 17 2022 17:37:57 GMT+0800 (China Standard Time) | INFO | tester-form-builder-api.log | API: /getAllTesterFormBuilder | data:{"message":"API Done","total":1,"status":true} | 
Sun Apr 17 2022 17:38:07 GMT+0800 (China Standard Time) | INFO | tester-form-builder-api.log | API: /getAllTesterFormBuilder | data:{"message":"API Done","total":1,"status":true} | 
Sun Apr 17 2022 17:38:18 GMT+0800 (China Standard Time) | INFO | tester-form-builder-api.log | API: /getAllTesterFormBuilder | data:{"message":"API Done","total":1,"status":true} | 
Sun Apr 17 2022 17:38:22 GMT+0800 (China Standard Time) | INFO | tester-form-builder-api.log | API: /getAllTesterFormBuilder | data:{"message":"API Done","total":1,"status":true} | 
Sun Apr 17 2022 17:38:28 GMT+0800 (China Standard Time) | INFO | tester-form-builder-api.log | API: /getAllTesterFormBuilder | data:{"message":"API Done","total":1,"status":true} | 
Sun Apr 17 2022 17:38:45 GMT+0800 (China Standard Time) | INFO | tester-form-builder-api.log | API: /getAllTesterFormBuilder | data:{"message":"API Done","total":1,"status":true} | 
Sun Apr 17 2022 17:39:20 GMT+0800 (China Standard Time) | INFO | tester-form-builder-api.log | API: /getAllTesterFormBuilder | data:{"message":"API Done","total":1,"status":true} | 
Sun Apr 17 2022 17:39:31 GMT+0800 (China Standard Time) | INFO | tester-form-builder-api.log | API: /getAllTesterFormBuilder | data:{"message":"API Done","total":1,"status":true} | 
Sun Apr 17 2022 17:39:35 GMT+0800 (China Standard Time) | INFO | tester-form-builder-api.log | API: /getAllTesterFormBuilder | data:{"message":"API Done","total":1,"status":true} | 
Sun Apr 17 2022 17:39:39 GMT+0800 (China Standard Time) | INFO | tester-form-builder-api.log | API: /getAllTesterFormBuilder | data:{"message":"API Done","total":1,"status":true} | 
Sun Apr 17 2022 17:39:48 GMT+0800 (China Standard Time) | INFO | tester-form-builder-api.log | API: /getAllTesterFormBuilder | data:{"message":"API Done","total":1,"status":true} | 
Sun Apr 17 2022 17:40:37 GMT+0800 (China Standard Time) | INFO | tester-form-builder-api.log | API: /getAllTesterFormBuilder | data:{"message":"API Done","total":1,"status":true} | 
Sun Apr 17 2022 17:40:39 GMT+0800 (China Standard Time) | INFO | tester-form-builder-api.log | API: /getAllTesterFormBuilder | data:{"message":"API Done","total":1,"status":true} | 
Sun Apr 17 2022 17:40:54 GMT+0800 (China Standard Time) | INFO | tester-form-builder-api.log | API: /getAllTesterFormBuilder | data:{"message":"API Done","total":1,"status":true} | 
Sun Apr 17 2022 17:41:06 GMT+0800 (China Standard Time) | INFO | tester-form-builder-api.log | API: /getAllTesterFormBuilder | data:{"message":"API Done","total":1,"status":true} | 
Sun Apr 17 2022 17:41:19 GMT+0800 (China Standard Time) | INFO | tester-form-builder-api.log | API: /getAllTesterFormBuilder | data:{"message":"API Done","total":1,"status":true} | 
Sun Apr 17 2022 17:41:30 GMT+0800 (China Standard Time) | INFO | tester-form-builder-api.log | API: /getAllTesterFormBuilder | data:{"message":"API Done","total":1,"status":true} | 
Sun Apr 17 2022 17:41:39 GMT+0800 (China Standard Time) | INFO | tester-form-builder-api.log | API: /getAllTesterFormBuilder | data:{"message":"API Done","total":1,"status":true} | 
Sun Apr 17 2022 17:41:40 GMT+0800 (China Standard Time) | INFO | tester-form-builder-api.log | API: /getAllTesterFormBuilder | data:{"message":"API Done","total":1,"status":true} | 
Sun Apr 17 2022 17:42:26 GMT+0800 (China Standard Time) | INFO | tester-form-builder-api.log | API: /getAllTesterFormBuilder | data:{"message":"API Done","total":1,"status":true} | 
Mon Apr 18 2022 08:31:38 GMT+0800 (China Standard Time) | INFO | tester-form-builder-api.log | API: /getAllTesterFormBuilder | data:{"message":"API Done","total":1,"status":true} | 
