Tue Mar 22 2022 21:47:25 GMT+0800 (Malaysia Time) | INFO | users-api.log | API: /getAllUsers | data:{"message":"API Done","total":240,"status":true} | 
Tue Mar 22 2022 21:56:39 GMT+0800 (Malaysia Time) | INFO | users-api.log | API: /getAllUsers | data:{"message":"API Done","total":240,"status":true} | 
Wed Mar 23 2022 11:16:45 GMT+0800 (China Standard Time) | ERROR | users-api.log | API: /loginUser | data:{"message":"API Error: Password Not Match","value":{"email":"derricktan@greatech-group.com"},"status":false} | 
Wed Mar 23 2022 11:16:50 GMT+0800 (China Standard Time) | INFO | users-api.log | API: /loginUser | data:{"message":"API Done","main":"derricktan@greatech-group.com","status":true} | 
Wed Mar 23 2022 15:07:35 GMT+0800 (China Standard Time) | INFO | users-api.log | API: /loginUser | data:{"message":"API Done","main":"derricktan@greatech-group.com","status":true} | 
Thu Mar 24 2022 09:33:25 GMT+0800 (China Standard Time) | INFO | users-api.log | API: /getAllUsers | data:{"message":"API Done","total":240,"status":true} | 
Thu Mar 24 2022 09:41:49 GMT+0800 (China Standard Time) | INFO | users-api.log | API: /getAllUsers | data:{"message":"API Done","total":72,"status":true} | 
Thu Mar 24 2022 09:41:58 GMT+0800 (China Standard Time) | INFO | users-api.log | API: /getAllUsers | data:{"message":"API Done","total":72,"status":true} | 
Thu Mar 24 2022 09:42:05 GMT+0800 (China Standard Time) | INFO | users-api.log | API: /getAllUsers | data:{"message":"API Done","total":72,"status":true} | 
Thu Mar 24 2022 09:42:14 GMT+0800 (China Standard Time) | INFO | users-api.log | API: /getAllUsers | data:{"message":"API Done","total":72,"status":true} | 
Thu Mar 24 2022 09:42:33 GMT+0800 (China Standard Time) | INFO | users-api.log | API: /getAllUsers | data:{"message":"API Done","total":72,"status":true} | 
Thu Mar 24 2022 09:42:35 GMT+0800 (China Standard Time) | INFO | users-api.log | API: /getAllUsers | data:{"message":"API Done","total":72,"status":true} | 
Thu Mar 24 2022 09:42:37 GMT+0800 (China Standard Time) | INFO | users-api.log | API: /getAllUsers | data:{"message":"API Done","total":72,"status":true} | 
Thu Mar 24 2022 09:42:53 GMT+0800 (China Standard Time) | INFO | users-api.log | API: /getAllUsers | data:{"message":"API Done","total":72,"status":true} | 
Thu Mar 24 2022 09:43:08 GMT+0800 (China Standard Time) | INFO | users-api.log | API: /getAllUsers | data:{"message":"API Done","total":72,"status":true} | 
Thu Mar 24 2022 09:43:14 GMT+0800 (China Standard Time) | INFO | users-api.log | API: /getAllUsers | data:{"message":"API Done","total":72,"status":true} | 
Thu Mar 24 2022 09:43:36 GMT+0800 (China Standard Time) | INFO | users-api.log | API: /getAllUsers | data:{"message":"API Done","total":72,"status":true} | 
Thu Mar 24 2022 09:43:44 GMT+0800 (China Standard Time) | INFO | users-api.log | API: /getAllUsers | data:{"message":"API Done","total":72,"status":true} | 
Thu Mar 24 2022 09:44:12 GMT+0800 (China Standard Time) | INFO | users-api.log | API: /getAllUsers | data:{"message":"API Done","total":72,"status":true} | 
Thu Mar 24 2022 09:44:25 GMT+0800 (China Standard Time) | INFO | users-api.log | API: /getAllUsers | data:{"message":"API Done","total":72,"status":true} | 
Thu Mar 24 2022 09:44:30 GMT+0800 (China Standard Time) | INFO | users-api.log | API: /getAllUsers | data:{"message":"API Done","total":72,"status":true} | 
